,Source,Target,Submitted
244,5empx5z5,fo2lpx,Submitted
245,12wrug,f38icu,Submitted
246,5mmefeqh,fbiltc,Submitted
247,ut8l5,ffis2o,Submitted
248,ohdti,fvvggp,Submitted
249,wxczw,g0effk,Submitted
250,7t9s9,f1p8gg,Submitted
251,7t9s9,eyitks,Submitted
252,61zjl3pt,fyhumn,Submitted
253,7t9s9,evxm0q,Submitted
254,12wrug,f39u3f,Submitted
255,eiw59,f0nd6q,Submitted
256,4pfhas7f,f4dcnt,Submitted
257,wxczw,fz0mrf,Submitted
258,4pfhas7f,f13vr2,Submitted
259,zzhoo,fj4qgd,Submitted
260,wxczw,fxzbe6,Submitted
261,7t9s9,f2qsc1,Submitted
262,428jt,fp4c18,Submitted
263,12wrug,f7a44e,Submitted
264,hcs02,fpymdb,Submitted
265,15pcre,fdv0pr,Submitted
266,5n3siuex,ffri06,Submitted
267,p4o5y,fr5h4b,Submitted
268,5mmefeqh,f7ko9r,Submitted
269,p4o5y,fq4lh3,Submitted
270,5d1owwm3,f0ue4j,Submitted
271,7t9s9,ewuq80,Submitted
272,5rwjko4f,g1menr,Submitted
273,61zjl3pt,fur18h,Submitted
274,u3xx1,fq25bj,Submitted
275,sx1iq,exhr5g,Submitted
276,5empx5z5,fk7elx,Submitted
277,53mdj6u3,f889qm,Submitted
278,5empx5z5,fl7s49,Submitted
279,7t9s9,eyj20s,Submitted
280,tblkklw,fgep9b,Submitted
281,12wrug,f3j8eq,Submitted
282,61zjl3pt,fz9diy,Submitted
283,wo4fw,f4yr2q,Submitted
284,wo4fw,f2g5ax,Submitted
285,wo4fw,fjofya,Submitted
286,wxczw,fedbv8,Submitted
287,ut8l5,fdec58,Submitted
288,wxczw,fshi0j,Submitted
289,61zjl3pt,fwq3j4,Submitted
290,3nelaphm,f11hcf,Submitted
291,u3xx1,frvvgm,Submitted
292,zzhoo,fwomze,Submitted
293,wxczw,g33x8o,Submitted
294,14mosq,fgm9f6,Submitted
295,ohdti,fbd8f8,Submitted
296,3q2ty2qf,fw2anq,Submitted
297,4pfhas7f,f6evxn,Submitted
298,4pfhas7f,f5eeuf,Submitted
299,50ujok4z,fa62bl,Submitted
300,zzhoo,fm439a,Submitted
301,wxczw,fym5vh,Submitted
302,61zjl3pt,fz5s9p,Submitted
303,wo4fw,f1g5wp,Submitted
304,4pfhas7f,f7cpfu,Submitted
305,28akpexo,fv7tyx,Submitted
306,wo4fw,f7jgbt,Submitted
307,5mmefeqh,fhg5s7,Submitted
308,523k1hjn,fxedve,Submitted
309,wxczw,fzf709,Submitted
310,14mosq,flextu,Submitted
311,5mmefeqh,fawgrf,Submitted
312,wo4fw,f73ozt,Submitted
313,u3xx1,fad20v,Submitted
314,wxczw,g0385h,Submitted
315,61zjl3pt,ftlmf9,Submitted
316,wo4fw,fhs0yc,Submitted
317,sx1iq,evm9qo,Submitted
318,5mmefeqh,fa3dep,Submitted
319,50ujok4z,f07i66,Submitted
320,12wrug,f4p91i,Submitted
321,zzhoo,ffdcf5,Submitted
322,7t9s9,eypk7f,Submitted
323,12wrug,f33cah,Submitted
324,61zjl3pt,fx6j7k,Submitted
325,58s4sztz,fl61ie,Submitted
326,50ujok4z,ezqj8x,Submitted
327,hcs02,flnwt4,Submitted
328,wo4fw,fey0n4,Submitted
329,61zjl3pt,fsfhqb,Submitted
330,61zjl3pt,fyec17,Submitted
331,5mmefeqh,fc11bo,Submitted
332,wo4fw,fk90yd,Submitted
333,hcs02,fnk7yf,Submitted
334,hcs02,fn1kne,Submitted
335,wxczw,g4emma,Submitted
336,5r64uqcw,f9dqph,Submitted
337,523k1hjn,fs4e53,Submitted
338,5shp272q,fbbzb0,Submitted
339,12wrug,f68ze2,Submitted
340,wxczw,feiamm,Submitted
341,u3xx1,feekyl,Submitted
342,wxczw,g2ddrc,Submitted
343,5mmefeqh,f7vrji,Submitted
344,wxczw,fvc32s,Submitted
345,28akpexo,ftuvsm,Submitted
346,5empx5z5,fkoxgy,Submitted
347,61zjl3pt,fvep1x,Submitted
348,50ujok4z,eys95q,Submitted
349,zzhoo,ffa5t0,Submitted
350,tblkklw,fsu6r1,Submitted
351,wxczw,ffh4h8,Submitted
352,61zjl3pt,fzwwim,Submitted
353,wxczw,fgdc5z,Submitted
354,wxczw,ffy4y5,Submitted
355,zzhoo,fi4435,Submitted
356,1toj5ey7,fkjdsh,Submitted
357,wxczw,fy9etf,Submitted
358,4pfhas7f,f0f634,Submitted
359,5empx5z5,fecctp,Submitted
360,u3xx1,fafrfp,Submitted
361,wxczw,fruq17,Submitted
362,1hj4c2x,frft0s,Submitted
363,wxczw,g0npbx,Submitted
364,3q2ty2qf,fz9nkn,Submitted
365,wxczw,furrpg,Submitted
366,61zjl3pt,fxs51t,Submitted
367,12wrug,f5zt3y,Submitted
368,wxczw,fz0mfd,Submitted
369,5mmefeqh,fcxvmr,Submitted
370,tblkklw,ftgrfd,Submitted
371,wxczw,fuvrw1,Submitted
372,wxczw,g4odie,Submitted
373,u3xx1,fgxfux,Submitted
374,wxczw,g03a3e,Submitted
375,ohdti,f3jpvd,Submitted
376,5mmefeqh,fci2j7,Submitted
377,5n3siuex,ffbus3,Submitted
378,2ubpl7gd,fbkpt8,Submitted
379,4l4aritt,etjfxu,Submitted
380,5d1owwm3,f2zrfv,Submitted
381,eiw59,ey1qw8,Submitted
382,wxczw,fizodb,Submitted
383,4pfhas7f,f9aux8,Submitted
384,u3xx1,g1vc03,Submitted
385,hcs02,fw4sr7,Submitted
386,nc5hw,etdf72,Submitted
387,wo4fw,exh4gd,Submitted
388,wxczw,g3ithw,Submitted
389,7yqrl,fv58xd,Submitted
390,eiw59,ez8pzs,Submitted
391,wo4fw,ey7f4e,Submitted
392,wxczw,fmftls,Submitted
393,hcs02,flonpw,Submitted
394,wxczw,fl90l5,Submitted
395,523k1hjn,ff5ses,Submitted
396,12wrug,f118s9,Submitted
397,rexvw,fk2r3h,Submitted
398,wxczw,fwkz9e,Submitted
399,u3xx1,f4z6tc,Submitted
400,12wrug,f471wp,Submitted
401,3nelaphm,exue5i,Submitted
402,nc5hw,fiyumt,Submitted
403,3nelaphm,f0g014,Submitted
404,5shp272q,fb3355,Submitted
405,wo4fw,f7axw3,Submitted
406,9ndv4,fe3c7w,Submitted
407,5empx5z5,fg01qi,Submitted
408,523k1hjn,fpgnai,Submitted
409,3nelaphm,f3tcm6,Submitted
410,61zjl3pt,fvzbn2,Submitted
411,1xpuupza,f0vpaa,Submitted
412,4zo9v,febtr8,Submitted
413,wxczw,g1q6qc,Submitted
414,12wrug,f7j75d,Submitted
415,wxczw,feb9wl,Submitted
416,wxczw,fpt9uz,Submitted
417,u3xx1,fm5smt,Submitted
418,3q2ty2qf,fx682z,Submitted
419,4pfhas7f,f0rfdt,Submitted
420,3q2ty2qf,fvybvr,Submitted
421,5empx5z5,fiy25j,Submitted
422,wxczw,fvu590,Submitted
423,wxczw,g1qb97,Submitted
424,u3xx1,fee075,Submitted
425,wxczw,g2nidv,Submitted
426,4lzlbr12,f9ud9f,Submitted
427,ohdti,g4odq4,Submitted
428,p4o5y,fqi1wo,Submitted
429,5mmefeqh,fbxq8f,Submitted
430,nc5hw,ffbi5h,Submitted
431,eiw59,ez7mh3,Submitted
432,zzhoo,ffx3so,Submitted
433,7t9s9,f30wi4,Submitted
434,50ujok4z,f6f8gz,Submitted
435,45dtaso1,frlh99,Submitted
436,hcs02,g4uomf,Submitted
437,wxczw,fgc3l6,Submitted
438,wxczw,g29r66,Submitted
439,5mmefeqh,fcn68q,Submitted
440,61zjl3pt,fxalsq,Submitted
441,wxczw,g50473,Submitted
442,wo4fw,f51yp4,Submitted
443,zzhoo,fihsb9,Submitted
444,wxczw,ftt3n7,Submitted
445,bh5q6,ex1v0w,Submitted
446,4pfhas7f,f39rz6,Submitted
447,u3xx1,for0qv,Submitted
448,12wrug,fh283h,Submitted
449,5mmefeqh,fhfrfo,Submitted
450,zzhoo,fhfpjr,Submitted
451,5n3siuex,fqn718,Submitted
452,1hj4c2x,fp6fv8,Submitted
453,4lzlbr12,facnxb,Submitted
454,61zjl3pt,fx2meg,Submitted
455,wxczw,fmfcnc,Submitted
456,3nelaphm,f0jlqp,Submitted
457,tblkklw,fmar19,Submitted
458,hcs02,fki88w,Submitted
459,50ujok4z,f6ngeo,Submitted
460,zzhoo,fdjq2e,Submitted
461,wxczw,g10neh,Submitted
462,7t9s9,ewq0af,Submitted
463,5empx5z5,fjinkf,Submitted
464,12wrug,f7tuwy,Submitted
465,2hzgz0aj,fgmv1m,Submitted
466,hcs02,fk7zu7,Submitted
467,wxczw,g3isad,Submitted
468,wxczw,ftcn8y,Submitted
469,7t9s9,f2hsp1,Submitted
470,5mmefeqh,feh4qz,Submitted
471,wo4fw,flbczv,Submitted
472,1xpuupza,fmmpxb,Submitted
473,wo4fw,f92nnt,Submitted
474,wxczw,fej2fq,Submitted
475,wo4fw,f6isdm,Submitted
476,7t9s9,f39fgn,Submitted
477,hcs02,fll2qs,Submitted
478,wxczw,fjw6t4,Submitted
479,wo4fw,flbb0x,Submitted
480,u3xx1,fgptq9,Submitted
481,hcs02,ftu9fw,Submitted
482,5rwjko4f,fusdnf,Submitted
483,3hcq4d5q,f3cr66,Submitted
484,4zo9v,fpkllk,Submitted
485,12wrug,f48rl4,Submitted
486,wxczw,feut00,Submitted
487,wxczw,furtqo,Submitted
488,5rwjko4f,fsirrk,Submitted
489,50ujok4z,f1payw,Submitted
490,wo4fw,f73665,Submitted
491,62hyyija,fszllb,Submitted
492,wxczw,g4bmw4,Submitted
493,12wrug,f3a9sj,Submitted
494,28akpexo,fss4g7,Submitted
495,ohdti,faiqzq,Submitted
496,523k1hjn,flmg8p,Submitted
497,wxczw,fzqxj6,Submitted
498,wxczw,fmf6qj,Submitted
499,u3xx1,fh6sp2,Submitted
500,61zjl3pt,fyhdsy,Submitted
501,hcs02,fv9nwx,Submitted
502,1hj4c2x,fqgazq,Submitted
503,wxczw,ferbpt,Submitted
504,12wrug,f3ancf,Submitted
505,wo4fw,ezigq4,Submitted
506,12wrug,f3ooam,Submitted
507,wxczw,fscr76,Submitted
508,wxczw,fztspx,Submitted
509,zzhoo,ffvxzp,Submitted
510,28akpexo,g357w4,Submitted
511,hcs02,g4j0zw,Submitted
512,gewld,f3xna0,Submitted
513,wxczw,fevur7,Submitted
514,wxczw,fjx36p,Submitted
515,u3xx1,fgx9sc,Submitted
516,7t9s9,f6ctsr,Submitted
517,ohdti,f8hxgr,Submitted
518,zzhoo,ffy28m,Submitted
519,wxczw,ffbqfa,Submitted
520,u3xx1,fcxluv,Submitted
521,wxczw,g2nju0,Submitted
522,a6h1b0s,f46dvf,Submitted
523,12wrug,f7160i,Submitted
524,5rwjko4f,fnlbws,Submitted
525,5empx5z5,fos1jp,Submitted
526,4lzlbr12,f8s0s2,Submitted
527,14mosq,fqsh71,Submitted
528,hcs02,fr1ji5,Submitted
529,7t9s9,f6js91,Submitted
530,wxczw,fttl6g,Submitted
531,zzhoo,fgaxaa,Submitted
532,50ujok4z,ey9d4m,Submitted
533,1hj4c2x,ftbduu,Submitted
534,50ujok4z,f7qjq9,Submitted
535,wxczw,fwr7ec,Submitted
536,61zjl3pt,fxajg7,Submitted
537,12wrug,f879nd,Submitted
538,12wrug,f781c2,Submitted
539,wo4fw,ez0myd,Submitted
540,4lzlbr12,et5w9h,Submitted
541,wxczw,g4bt9h,Submitted
542,61zjl3pt,fyg3ub,Submitted
543,tblkklw,fcs27a,Submitted
544,wxczw,fy9ld4,Submitted
545,wxczw,fuonwx,Submitted
546,1xpuupza,fl9b7d,Submitted
547,5r64uqcw,fazfss,Submitted
548,rexvw,fooixv,Submitted
549,wxczw,fvsy0t,Submitted
550,12wrug,f6h7gq,Submitted
551,1xpuupza,fsyz3l,Submitted
552,5empx5z5,fjlzni,Submitted
553,wxczw,fuw1lj,Submitted
554,61zjl3pt,fuut0d,Submitted
555,7t9s9,evwf9a,Submitted
556,zzhoo,fiybqt,Submitted
557,wxczw,ftdawp,Submitted
558,wxczw,fvkr9g,Submitted
559,wo4fw,fhjq9z,Submitted
560,c7mtwe0,fm2b3m,Submitted
561,wxczw,g3lcvw,Submitted
562,12wrug,f43r5y,Submitted
563,u3xx1,fgkb0z,Submitted
564,4pfhas7f,f415e7,Submitted
565,wxczw,fymcto,Submitted
566,5empx5z5,fjr9yx,Submitted
567,tblkklw,fo0aau,Submitted
568,wxczw,fufl6u,Submitted
569,wo4fw,exw7hy,Submitted
570,p0e6q,fjw5r6,Submitted
571,hcs02,fifvli,Submitted
572,14mosq,fxqbqn,Submitted
573,12wrug,f67eu1,Submitted
574,u3xx1,faje5j,Submitted
575,5rwjko4f,fq6dec,Submitted
576,wxczw,g19r6z,Submitted
577,50ujok4z,f6zs5j,Submitted
578,wxczw,fubq1o,Submitted
579,az5wx,exwnr3,Submitted
580,2hzgz0aj,fdqm1i,Submitted
581,61zjl3pt,fzahus,Submitted
582,u3xx1,fqof7t,Submitted
583,5rwjko4f,g1m94z,Submitted
584,wxczw,ftdadu,Submitted
585,wxczw,g3ahtc,Submitted
586,u3xx1,fb1llj,Submitted
587,gewld,f4r8ft,Submitted
588,wxczw,g2wkki,Submitted
589,u3xx1,g1tyy5,Submitted
590,4lzlbr12,f7wsi7,Submitted
591,wxczw,fuomyj,Submitted
592,5rwjko4f,fowjib,Submitted
593,ut8l5,fde2md,Submitted
594,wxczw,g4wcsg,Submitted
595,5empx5z5,fhzrvv,Submitted
596,wo4fw,f7af8s,Submitted
597,wxczw,fv8tir,Submitted
598,wo4fw,febx8x,Submitted
599,wxczw,ffewxr,Submitted
600,5mmefeqh,fc4xn9,Submitted
601,wxczw,g38494,Submitted
602,eiw59,f4pp3b,Submitted
603,wo4fw,fals9u,Submitted
604,4pfhas7f,f2a2u6,Submitted
605,4pfhas7f,feh541,Submitted
606,eiw59,ezr8ab,Submitted
607,5mmefeqh,fhbjlz,Submitted
608,3q2ty2qf,fyfig6,Submitted
609,5empx5z5,fed5h4,Submitted
610,50ujok4z,f0veie,Submitted
611,5empx5z5,fjjfxa,Submitted
612,12wrug,f6rly4,Submitted
613,ut8l5,fb4j5f,Submitted
614,wxczw,feh5hz,Submitted
615,7t9s9,f38tlz,Submitted
616,5shp272q,fbcsjm,Submitted
617,12wrug,fp0piw,Submitted
618,5shp272q,fbgswh,Submitted
619,45dtaso1,fmobbh,Submitted
620,5empx5z5,fopyab,Submitted
621,wxczw,fld249,Submitted
622,wxczw,fwldji,Submitted
623,3nelaphm,ex2gia,Submitted
624,523k1hjn,fg225e,Submitted
625,u3xx1,fgyyfh,Submitted
626,p4o5y,fqfa1q,Submitted
627,wxczw,g4wh4l,Submitted
628,zzhoo,fmhof1,Submitted
629,wxczw,fx91kl,Submitted
630,5mmefeqh,fh3boq,Submitted
631,5empx5z5,fkn0l2,Submitted
632,wxczw,fxpa0u,Submitted
633,wxczw,fxz4ut,Submitted
634,wo4fw,f7l5mn,Submitted
635,9ndv4,felsnt,Submitted
636,28akpexo,ftfmxl,Submitted
637,wxczw,g29k49,Submitted
638,4x0930wc,famfqy,Submitted
639,7yqrl,fssev7,Submitted
640,5io4966o,ettamg,Submitted
641,eiw59,f50jm5,Submitted
642,61zjl3pt,fzyp0h,Submitted
643,u3xx1,f0yy55,Submitted
644,4pfhas7f,f4ko4g,Submitted
645,4lzlbr12,f9qeqa,Submitted
646,5empx5z5,fizilp,Submitted
647,3q2ty2qf,g2ez5l,Submitted
648,5empx5z5,fkam4s,Submitted
649,12wrug,f38ugg,Submitted
650,wxczw,g389a8,Submitted
651,45dtaso1,fc7xn5,Submitted
652,5mmefeqh,fczv38,Submitted
653,1hj4c2x,foxmuq,Submitted
654,5mmefeqh,femg9n,Submitted
655,50ujok4z,f63wqq,Submitted
656,zzhoo,fddeyn,Submitted
657,5empx5z5,fj16x7,Submitted
658,wxczw,fupgdi,Submitted
659,wxczw,fymcir,Submitted
660,7t9s9,f2hunu,Submitted
661,5rwjko4f,fnh3s0,Submitted
662,5empx5z5,ffpty9,Submitted
663,zzhoo,fpppxy,Submitted
664,wxczw,fe1q6q,Submitted
665,5te3paf6,fpkgci,Submitted
666,5mmefeqh,fg6maw,Submitted
667,wxczw,fm27bc,Submitted
668,hcs02,g3znh8,Submitted
669,5mmefeqh,f9fio7,Submitted
670,nc5hw,frnjx4,Submitted
671,wxczw,g29ku6,Submitted
672,u3xx1,fhjnno,Submitted
673,50ujok4z,f6fds1,Submitted
674,wxczw,fx0ot4,Submitted
675,38lau,fl04k7,Submitted
676,12wrug,f6tqoe,Submitted
677,tblkklw,fd8vtx,Submitted
678,7t9s9,f2igzy,Submitted
679,5empx5z5,fiy515,Submitted
680,4pfhas7f,f0xkc7,Submitted
681,u3xx1,fdiltk,Submitted
682,523k1hjn,ft3cpf,Submitted
683,tblkklw,fmpqqz,Submitted
684,4pfhas7f,ew72id,Submitted
685,m6skm1t,exnscw,Submitted
686,61zjl3pt,fz0thq,Submitted
687,u3xx1,fccv0c,Submitted
688,u3xx1,fgykx3,Submitted
689,5rwjko4f,g1bm1z,Submitted
690,12wrug,fgvbvm,Submitted
691,5empx5z5,fjj62r,Submitted
692,wxczw,feua5t,Submitted
693,wxczw,fee36l,Submitted
694,7t9s9,f5e2ge,Submitted
695,wo4fw,f62rcr,Submitted
696,wxczw,few4b3,Submitted
697,45dtaso1,fjtrlw,Submitted
698,4pfhas7f,fk4ag5,Submitted
699,hcs02,fmxek3,Submitted
700,wxczw,fk4vtv,Submitted
701,wxczw,ftd8gj,Submitted
702,5rwjko4f,g0ij1j,Submitted
703,wo4fw,ffdo68,Submitted
704,wxczw,g1ccr1,Submitted
705,wo4fw,fbvp5h,Submitted
706,12wrug,f850h5,Submitted
707,wxczw,ftd4h9,Submitted
708,4l4aritt,etd74w,Submitted
709,5empx5z5,finx2m,Submitted
710,50ujok4z,fcd469,Submitted
711,ut8l5,f11m5v,Submitted
712,wxczw,flb6te,Submitted
713,12wrug,f3sovb,Submitted
714,fphp2,fgt7l1,Submitted
715,zzhoo,fj5xhh,Submitted
716,zzhoo,fiwfty,Submitted
717,zzhoo,fjhzmg,Submitted
